Cantidad_Envios,Ejercicios_unicos_caller,Cant_envios_paso,Cant_envios_no_paso,Cant_ejerc_pasoTotal_envios,Cant_ejerc_no_pasoTotal_envios,dif_ejerciciosUnicos_Paso,cant_envios,cant_ejercicios_unicos,f_primer_envio,f_ultimo_envio,tiempo_invertido,tiempo_invertido_horas,tiempo_invertido_dias,Avance_caller,avg_tiempo,ID_ultimo_ejercicio_enviado,Ejercicios_unicos_other,Avance_other,Avance_original
46,10,19,27,8,7,2,46,10,2020-09-21 13:10:29.928,2020-09-21 16:17:40.170,0 days 03:07:10.242000,3.12,0.13,0,0.06782608695652174,10,39,Deserto,1
16,10,13,3,10,3,0,16,10,2020-09-20 14:25:03.487,2020-10-05 23:26:59.033,15 days 09:01:55.546000,369.03,15.3762,0,23.064375,4,40,Completo,0
33,6,14,19,5,4,1,33,6,2020-09-22 17:20:23.251,2020-09-23 01:40:31.506,0 days 08:20:08.255000,8.34,0.3475,0,0.25272727272727274,6,6,Deserto,1
94,10,21,73,10,7,0,94,10,2020-09-27 16:34:11.659,2020-11-08 23:50:11.855,42 days 07:16:00.196000,1015.27,42.3029,0,10.800744680851064,10,40,Completo,0
40,10,26,14,9,4,1,40,10,2020-09-28 15:53:15.339,2020-10-19 21:18:51.456,21 days 05:25:36.117000,509.43,21.2262,0,12.73575,10,40,Completo,0
34,10,19,15,10,6,0,34,10,2020-09-28 22:04:34.347,2020-09-28 23:36:59.171,0 days 01:32:24.824000,1.54,0.0642,0,0.045294117647058825,10,40,Completo,0
182,9,19,163,8,6,1,182,9,2020-09-29 03:10:29.646,2020-11-10 13:39:41.193,42 days 10:29:11.547000,1018.49,42.4371,0,5.596098901098901,9,11,Deserto,1
74,10,14,60,7,7,3,74,10,2020-10-06 12:18:39.965,2020-10-19 17:17:49.947,13 days 04:59:09.982000,316.99,13.2079,0,4.283648648648649,10,10,Deserto,1
25,10,10,15,9,3,1,25,10,2020-09-24 01:19:52.591,2020-11-16 18:25:16.834,53 days 17:05:24.243000,1289.09,53.7121,0,51.563599999999994,4,40,Completo,0
31,10,19,12,10,4,0,31,10,2020-10-19 12:46:39.131,2020-10-20 14:31:53.595,1 days 01:45:14.464000,25.75,1.0729,0,0.8306451612903226,10,40,Completo,0
78,8,29,49,7,4,1,78,8,2020-10-19 21:52:10.198,2020-10-27 20:23:13.468,7 days 22:31:03.270000,190.52,7.9383,0,2.4425641025641025,8,8,Deserto,1
49,10,20,29,9,7,1,49,10,2020-10-19 23:14:00.822,2020-11-01 20:55:56.023,12 days 21:41:55.201000,309.7,12.9042,0,6.320408163265306,3,10,Deserto,1
67,10,17,50,8,8,2,67,10,2020-11-10 13:37:54.503,2020-11-11 10:29:44.086,0 days 20:51:49.583000,20.86,0.8692,0,0.31134328358208957,9,40,Completo,0
81,9,17,64,7,7,2,81,9,2020-11-10 13:49:38.249,2020-11-10 18:35:49.027,0 days 04:46:10.778000,4.77,0.1987,0,0.058888888888888886,9,9,Deserto,1
20,10,19,1,10,1,0,20,10,2020-11-23 20:59:40.861,2020-11-23 21:20:32.093,0 days 00:20:51.232000,0.35,0.0146,0,0.017499999999999998,4,40,Completo,0
3,3,2,1,2,1,1,3,3,2020-05-26 14:11:01.786,2020-05-26 14:25:27.307,0 days 00:14:25.521000,0.24,0.01,0,0.08,6,8,Deserto,1
6,1,1,5,1,1,0,6,1,2020-05-16 18:49:13.480,2020-05-16 18:50:49.407,0 days 00:01:35.927000,0.03,0.0012,0,0.005,9,1,Deserto,1
1,1,1,0,1,0,0,1,1,2020-05-14 22:42:31.975,2020-05-14 22:42:31.975,0 days 00:00:00,0.0,0.0,0,0.0,1,16,Deserto,1
